int_n;Description_of_utilization;util_code;util_name;util;quintile
10;Percent of children with symptoms of acute DHS respiratory infection (ARI) who received antibiotics;CH_ARIS_C_ABI;Children with symptoms of ARI who received antibiotics;18;1
10;Percent of children with symptoms of acute DHS respiratory infection (ARI) who received antibiotics;CH_ARIS_C_ABI;Children with symptoms of ARI who received antibiotics;22,7;2
10;Percent of children with symptoms of acute DHS respiratory infection (ARI) who received antibiotics;CH_ARIS_C_ABI;Children with symptoms of ARI who received antibiotics;24;3
10;Percent of children with symptoms of acute DHS respiratory infection (ARI) who received antibiotics;CH_ARIS_C_ABI;Children with symptoms of ARI who received antibiotics;26,7;4
10;Percent of children with symptoms of acute DHS respiratory infection (ARI) who received antibiotics;CH_ARIS_C_ABI;Children with symptoms of ARI who received antibiotics;21,1;5
11;Percent of children with symptoms of acute DHS respiratory infection (ARI) who received antibiotics;CH_ARIS_C_ABI;Children with symptoms of ARI who received antibiotics;18;1
11;Percent of children with symptoms of acute DHS respiratory infection (ARI) who received antibiotics;CH_ARIS_C_ABI;Children with symptoms of ARI who received antibiotics;22,7;2
11;Percent of children with symptoms of acute DHS respiratory infection (ARI) who received antibiotics;CH_ARIS_C_ABI;Children with symptoms of ARI who received antibiotics;24;3
11;Percent of children with symptoms of acute DHS respiratory infection (ARI) who received antibiotics;CH_ARIS_C_ABI;Children with symptoms of ARI who received antibiotics;26,7;4
11;Percent of children with symptoms of acute DHS respiratory infection (ARI) who received antibiotics;CH_ARIS_C_ABI;Children with symptoms of ARI who received antibiotics;21,1;5
12;Tuberculosis (TB) case detection rate (all forms of WDI TB);SH.TBS.DTEC.ZS;Tuberculosis case detection rate (%, all forms);49,58215876;1
12;Tuberculosis (TB) case detection rate (all forms of WDI TB);SH.TBS.DTEC.ZS;Tuberculosis case detection rate (%, all forms);55,44151134;2
12;Tuberculosis (TB) case detection rate (all forms of WDI TB);SH.TBS.DTEC.ZS;Tuberculosis case detection rate (%, all forms);63,41781268;3
12;Tuberculosis (TB) case detection rate (all forms of WDI TB);SH.TBS.DTEC.ZS;Tuberculosis case detection rate (%, all forms);79,43739308;4
12;Tuberculosis (TB) case detection rate (all forms of WDI TB);SH.TBS.DTEC.ZS;Tuberculosis case detection rate (%, all forms);100;5
13;;NA;NA;100;1
13;;NA;NA;100;2
13;;NA;NA;100;3
13;;NA;NA;100;4
13;;NA;NA;100;5
14;Percent of population ever receiving an HIV test;HA_CPHT_MW_EVT;Men and women ever receiving an HIV test;26;1
14;Percent of population ever receiving an HIV test;HA_CPHT_MW_EVT;Men and women ever receiving an HIV test;34,85;2
14;Percent of population ever receiving an HIV test;HA_CPHT_MW_EVT;Men and women ever receiving an HIV test;38,35;3
14;Percent of population ever receiving an HIV test;HA_CPHT_MW_EVT;Men and women ever receiving an HIV test;47,75;4
14;Percent of population ever receiving an HIV test;HA_CPHT_MW_EVT;Men and women ever receiving an HIV test;66,2;5
15;Percent of women reporting a sexually transmitted DHS infection (STI);HA_STIS_W_STI;Women reporting an STI;6,3;1
15;Percent of women reporting a sexually transmitted DHS infection (STI);HA_STIS_W_STI;Women reporting an STI;10,7;2
15;Percent of women reporting a sexually transmitted DHS infection (STI);HA_STIS_W_STI;Women reporting an STI;13,2;3
15;Percent of women reporting a sexually transmitted DHS infection (STI);HA_STIS_W_STI;Women reporting an STI;16,5;4
15;Percent of women reporting a sexually transmitted DHS infection (STI);HA_STIS_W_STI;Women reporting an STI;24,4;5
16;;NA;NA;100;1
16;;NA;NA;100;2
16;;NA;NA;100;3
16;;NA;NA;100;4
16;;NA;NA;100;5
17;Percentage with raised total cholesterol, currently on STEPS medication for raised cholesterol, raised blood pressure, or currently on medication for raised blood pressure;STEPS_BP_CHOLESTEROL;Percentage with raised total cholesterol, currently on medication for raised cholesterol, raised blood pressure, or currently on medication for raised blood pressure;3,91070548;1
17;Percentage with raised total cholesterol, currently on STEPS medication for raised cholesterol, raised blood pressure, or currently on medication for raised blood pressure;STEPS_BP_CHOLESTEROL;Percentage with raised total cholesterol, currently on medication for raised cholesterol, raised blood pressure, or currently on medication for raised blood pressure;4,372851599;2
17;Percentage with raised total cholesterol, currently on STEPS medication for raised cholesterol, raised blood pressure, or currently on medication for raised blood pressure;STEPS_BP_CHOLESTEROL;Percentage with raised total cholesterol, currently on medication for raised cholesterol, raised blood pressure, or currently on medication for raised blood pressure;5,001968324;3
17;Percentage with raised total cholesterol, currently on STEPS medication for raised cholesterol, raised blood pressure, or currently on medication for raised blood pressure;STEPS_BP_CHOLESTEROL;Percentage with raised total cholesterol, currently on medication for raised cholesterol, raised blood pressure, or currently on medication for raised blood pressure;6,265484525;4
17;Percentage with raised total cholesterol, currently on STEPS medication for raised cholesterol, raised blood pressure, or currently on medication for raised blood pressure;STEPS_BP_CHOLESTEROL;Percentage with raised total cholesterol, currently on medication for raised cholesterol, raised blood pressure, or currently on medication for raised blood pressure;8,994366045;5
18;Percentage with raised total cholesterol, currently on STEPS medication for raised cholesterol, raised blood pressure, or currently on medication for raised blood pressure;STEPS_BP_CHOLESTEROL;Percentage with raised total cholesterol, currently on medication for raised cholesterol, raised blood pressure, or currently on medication for raised blood pressure;3,91070548;1
18;Percentage with raised total cholesterol, currently on STEPS medication for raised cholesterol, raised blood pressure, or currently on medication for raised blood pressure;STEPS_BP_CHOLESTEROL;Percentage with raised total cholesterol, currently on medication for raised cholesterol, raised blood pressure, or currently on medication for raised blood pressure;4,372851599;2
18;Percentage with raised total cholesterol, currently on STEPS medication for raised cholesterol, raised blood pressure, or currently on medication for raised blood pressure;STEPS_BP_CHOLESTEROL;Percentage with raised total cholesterol, currently on medication for raised cholesterol, raised blood pressure, or currently on medication for raised blood pressure;5,001968324;3
18;Percentage with raised total cholesterol, currently on STEPS medication for raised cholesterol, raised blood pressure, or currently on medication for raised blood pressure;STEPS_BP_CHOLESTEROL;Percentage with raised total cholesterol, currently on medication for raised cholesterol, raised blood pressure, or currently on medication for raised blood pressure;6,265484525;4
18;Percentage with raised total cholesterol, currently on STEPS medication for raised cholesterol, raised blood pressure, or currently on medication for raised blood pressure;STEPS_BP_CHOLESTEROL;Percentage with raised total cholesterol, currently on medication for raised cholesterol, raised blood pressure, or currently on medication for raised blood pressure;8,994366045;5
19;Percentage with raised total cholesterol, currently on STEPS medication for raised cholesterol, raised blood pressure, or currently on medication for raised blood pressure;STEPS_BL_GLUCOSE;Percentage population with raised blood glucose or currently on medication for raised blood glucose;4,120207559;1
19;Percentage with raised total cholesterol, currently on STEPS medication for raised cholesterol, raised blood pressure, or currently on medication for raised blood pressure;STEPS_BL_GLUCOSE;Percentage population with raised blood glucose or currently on medication for raised blood glucose;4,607111506;2
19;Percentage with raised total cholesterol, currently on STEPS medication for raised cholesterol, raised blood pressure, or currently on medication for raised blood pressure;STEPS_BL_GLUCOSE;Percentage population with raised blood glucose or currently on medication for raised blood glucose;5,269930913;3
19;Percentage with raised total cholesterol, currently on STEPS medication for raised cholesterol, raised blood pressure, or currently on medication for raised blood pressure;STEPS_BL_GLUCOSE;Percentage population with raised blood glucose or currently on medication for raised blood glucose;6,601135482;4
19;Percentage with raised total cholesterol, currently on STEPS medication for raised cholesterol, raised blood pressure, or currently on medication for raised blood pressure;STEPS_BL_GLUCOSE;Percentage population with raised blood glucose or currently on medication for raised blood glucose;9,476207083;5
20;Percent of individuals with health conditions most associated with serious health-related suffering whose healthcare needs are met;KNAUL;Percentage of need met for the health conditions most associated with serious health-related suffering;7,681742907;1
20;Percent of individuals with health conditions most associated with serious health-related suffering whose healthcare needs are met;KNAUL;Percentage of need met for the health conditions most associated with serious health-related suffering;8,589529927;2
20;Percent of individuals with health conditions most associated with serious health-related suffering whose healthcare needs are met;KNAUL;Percentage of need met for the health conditions most associated with serious health-related suffering;9,825294922;3
20;Percent of individuals with health conditions most associated with serious health-related suffering whose healthcare needs are met;KNAUL;Percentage of need met for the health conditions most associated with serious health-related suffering;12,30720175;4
20;Percent of individuals with health conditions most associated with serious health-related suffering whose healthcare needs are met;KNAUL;Percentage of need met for the health conditions most associated with serious health-related suffering;17,66750473;5
